Codigo;Produto ;Tipo;Arg1;Arg2;Arg3;DataInicio;DataFinal;Setor
303256;Conj Guia Peit Ajustavel Neon Rosa N.2;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303261;Conj Guia Peit Ajustavel Neon Verde N.0;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303288;Conj Guia Peitoral Comum Triangulos N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303324;Conj Guia Peitoral Comum Bombom N.5;FIDELIDADE;40.99;32.79;;13/08/2026;09/09/2026;Coleiras
303222;Kit Peitoral 8 + Guia Premium Aventura P;FIDELIDADE;94.99;75.99;;13/08/2026;09/09/2026;Coleiras
303236;Peitoral Fresh Premium Terracota G;FIDELIDADE;85.99;68.79;;13/08/2026;09/09/2026;Coleiras
279808;Peitoral Comum .40 Vermelho N.8 ;FIDELIDADE;55.09;44.07;;13/08/2026;09/09/2026;Coleiras
303304;Conj Guia Peitoral Comum Donuts Amarelo N.6;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
303307;Conj Guia Peitoral Comum Xadrez Chic N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279665;Conj Guia Peit Comum Poa Rosa  N.3 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
303242;Peitoral Fresh Premium Aurora G;FIDELIDADE;85.99;68.79;;13/08/2026;09/09/2026;Coleiras
279658;Conj Guia Peitoral Conforto Preto  N.2;FIDELIDADE;57.09;45.67;;13/08/2026;09/09/2026;Coleiras
279792;Peitoal  Comum .30 Preto N.6;FIDELIDADE;44.09;35.27;;13/08/2026;09/09/2026;Coleiras
303263;Conj Guia Peit Ajustavel Neon Laranja N.0;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303286;Conj Guia Peitoral Comum Triangulos N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303225;Kit Peitoral 8 + Guia Premium Terracota P;FIDELIDADE;94.99;75.99;;13/08/2026;09/09/2026;Coleiras
303257;Conj Guia Peit Ajustavel Neon Rosa N.0;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303266;Conj Guia Peit Comum Candy Verde N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303287;Conj Guia Peitoral Comum Triangulos N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279664;Conj Guia Peit Comum Poa Rosa  N.2;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
303322;Conj Guia Peitoral Comum Bombom N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303282;Conj Guia Peit Comum Candy Rosa N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303316;Conj Guia Peitoral Comum Classic N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303224;Kit Peitoral 8 + Guia Premium Aventura G;FIDELIDADE;127.99;102.39;;13/08/2026;09/09/2026;Coleiras
303315;Conj Guia Peitoral Comum Classic N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303283;Conj Guia Peit Comum Candy Rosa N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303254;Kit Peitoral 8 + Guia Premium Aurora M;FIDELIDADE;106.99;85.59;;13/08/2026;09/09/2026;Coleiras
279654;Conj Guia Peitoral Conforto Rosa  N.1;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
279660;Conj Guia Peitoral Conforto Vermelho  N.1;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
303284;Conj Guia Peit Comum Candy Rosa N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303301;Conj Guia Peitoral Comum Donuts Amarelo N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303319;Conj Guia Peitoral Comum Classic N.7;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
279798;Peitoal  Comum .30 Vermelho N.5 ;FIDELIDADE;44.09;35.27;;13/08/2026;09/09/2026;Coleiras
279661;Conj Guia Peitoral Conforto Vermelho  N.2;FIDELIDADE;57.09;45.67;;13/08/2026;09/09/2026;Coleiras
303290;Conj Guia Peitoral Comum Triangulos N.6;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
303237;Peitoral Fresh Premium Vibe P;FIDELIDADE;54.99;43.99;;13/08/2026;09/09/2026;Coleiras
279662;Conj Guia Peitoral Conforto Vermelho  N.3;FIDELIDADE;57.99;46.39;;13/08/2026;09/09/2026;Coleiras
303262;Conj Guia Peit Ajustavel Neon Rosa N.4;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303308;Conj Guia Peitoral Comum Xadrez Chic N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303226;Kit Peitoral 8 + Guia Premium Terracota M;FIDELIDADE;106.99;85.59;;13/08/2026;09/09/2026;Coleiras
303278;Conj Guia Peit Comum Candy Lilas N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279657;Conj Guia Peitoral Conforto Preto  N.1;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
279651;Conj Guia Peitoral Conforto Azul  N.1;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
279659;Conj Guia Peitoral Conforto Preto  N.3;FIDELIDADE;57.99;46.39;;13/08/2026;09/09/2026;Coleiras
303268;Conj Guia Peit Comum Candy Laranja N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303294;Conj Guia Peitoral Comum Cactus N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303258;Conj Guia Peit Ajustavel Neon Laranja N.4;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303272;Conj Guia Peit Comum Candy Verde N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303253;Kit Peitoral 8 + Guia Premium Aurora P;FIDELIDADE;94.99;75.99;;13/08/2026;09/09/2026;Coleiras
303275;Conj Guia Peit Comum Candy Azul N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303276;Conj Guia Peit Comum Candy Laranja N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303289;Conj Guia Peitoral Comum Triangulos N.5;FIDELIDADE;40.99;32.79;;13/08/2026;09/09/2026;Coleiras
